Loaded 10000 UniProt IDs
Scanned 10/10000 | reused=0 | fetched_new=0 | failed=10
Scanned 20/10000 | reused=0 | fetched_new=0 | failed=20
Scanned 30/10000 | reused=0 | fetched_new=0 | failed=30
Scanned 40/10000 | reused=0 | fetched_new=0 | failed=40
Scanned 50/10000 | reused=0 | fetched_new=0 | failed=50
Scanned 60/10000 | reused=0 | fetched_new=0 | failed=60
Scanned 70/10000 | reused=0 | fetched_new=0 | failed=70
Scanned 80/10000 | reused=0 | fetched_new=0 | failed=80
Scanned 90/10000 | reused=0 | fetched_new=0 | failed=90
Scanned 100/10000 | reused=0 | fetched_new=0 | failed=100
Scanned 110/10000 | reused=0 | fetched_new=0 | failed=110
Scanned 120/10000 | reused=0 | fetched_new=0 | failed=120
Scanned 130/10000 | reused=0 | fetched_new=0 | failed=130
Scanned 140/10000 | reused=0 | fetched_new=0 | failed=140
Scanned 150/10000 | reused=0 | fetched_new=0 | failed=150
Scanned 160/10000 | reused=0 | fetched_new=0 | failed=160
Scanned 170/10000 | reused=0 | fetched_new=0 | failed=170
Scanned 180/10000 | reused=0 | fetched_new=0 | failed=180
Scanned 190/10000 | reused=0 | fetched_new=0 | failed=190
Scanned 200/10000 | reused=0 | fetched_new=0 | failed=200
Scanned 210/10000 | reused=0 | fetched_new=0 | failed=210
Scanned 220/10000 | reused=0 | fetched_new=0 | failed=220
Scanned 230/10000 | reused=0 | fetched_new=0 | failed=230
Scanned 240/10000 | reused=0 | fetched_new=0 | failed=240
Scanned 250/10000 | reused=0 | fetched_new=0 | failed=250
Scanned 260/10000 | reused=0 | fetched_new=0 | failed=260
Scanned 270/10000 | reused=0 | fetched_new=0 | failed=270
Scanned 280/10000 | reused=0 | fetched_new=0 | failed=280
Scanned 290/10000 | reused=0 | fetched_new=0 | failed=290
Scanned 300/10000 | reused=0 | fetched_new=0 | failed=300
Scanned 310/10000 | reused=0 | fetched_new=0 | failed=310
Scanned 320/10000 | reused=0 | fetched_new=0 | failed=320
Scanned 330/10000 | reused=0 | fetched_new=0 | failed=330
Scanned 340/10000 | reused=0 | fetched_new=0 | failed=340
Scanned 350/10000 | reused=0 | fetched_new=0 | failed=350
Scanned 360/10000 | reused=0 | fetched_new=0 | failed=360
Scanned 370/10000 | reused=0 | fetched_new=0 | failed=370
Scanned 380/10000 | reused=0 | fetched_new=0 | failed=380
Scanned 390/10000 | reused=0 | fetched_new=0 | failed=390
Scanned 400/10000 | reused=0 | fetched_new=0 | failed=400
Scanned 410/10000 | reused=0 | fetched_new=0 | failed=410
Scanned 420/10000 | reused=0 | fetched_new=0 | failed=420
Scanned 430/10000 | reused=0 | fetched_new=0 | failed=430
Scanned 440/10000 | reused=0 | fetched_new=0 | failed=440
Scanned 450/10000 | reused=0 | fetched_new=0 | failed=450
Scanned 460/10000 | reused=0 | fetched_new=0 | failed=460
Scanned 470/10000 | reused=0 | fetched_new=0 | failed=470
Scanned 480/10000 | reused=0 | fetched_new=0 | failed=480
Scanned 490/10000 | reused=0 | fetched_new=0 | failed=490
Scanned 500/10000 | reused=0 | fetched_new=0 | failed=500
Scanned 510/10000 | reused=0 | fetched_new=0 | failed=510
Scanned 520/10000 | reused=0 | fetched_new=0 | failed=520
Scanned 530/10000 | reused=0 | fetched_new=0 | failed=530
Scanned 540/10000 | reused=0 | fetched_new=0 | failed=540
Scanned 550/10000 | reused=0 | fetched_new=0 | failed=550
Scanned 560/10000 | reused=0 | fetched_new=0 | failed=560
Scanned 570/10000 | reused=0 | fetched_new=0 | failed=570
Scanned 580/10000 | reused=0 | fetched_new=0 | failed=580
Scanned 590/10000 | reused=0 | fetched_new=0 | failed=590
Scanned 600/10000 | reused=0 | fetched_new=0 | failed=600
Scanned 610/10000 | reused=0 | fetched_new=0 | failed=610
Scanned 620/10000 | reused=0 | fetched_new=0 | failed=620
Scanned 630/10000 | reused=0 | fetched_new=0 | failed=630
Scanned 640/10000 | reused=0 | fetched_new=0 | failed=640
Scanned 650/10000 | reused=0 | fetched_new=0 | failed=650
Scanned 660/10000 | reused=0 | fetched_new=0 | failed=660
Scanned 670/10000 | reused=0 | fetched_new=0 | failed=670
Scanned 680/10000 | reused=0 | fetched_new=0 | failed=680
Scanned 690/10000 | reused=0 | fetched_new=0 | failed=690
Scanned 700/10000 | reused=0 | fetched_new=0 | failed=700
Scanned 710/10000 | reused=0 | fetched_new=0 | failed=710
Scanned 720/10000 | reused=0 | fetched_new=0 | failed=720
Scanned 730/10000 | reused=0 | fetched_new=0 | failed=730
Scanned 740/10000 | reused=0 | fetched_new=0 | failed=740
Scanned 750/10000 | reused=0 | fetched_new=0 | failed=750
Scanned 760/10000 | reused=0 | fetched_new=0 | failed=760
Scanned 770/10000 | reused=0 | fetched_new=0 | failed=770
Scanned 780/10000 | reused=0 | fetched_new=0 | failed=780
Scanned 790/10000 | reused=0 | fetched_new=0 | failed=790
Scanned 800/10000 | reused=0 | fetched_new=0 | failed=800
Scanned 810/10000 | reused=0 | fetched_new=0 | failed=810
Scanned 820/10000 | reused=0 | fetched_new=0 | failed=820
Scanned 830/10000 | reused=0 | fetched_new=0 | failed=830
Scanned 840/10000 | reused=0 | fetched_new=0 | failed=840
Scanned 850/10000 | reused=0 | fetched_new=0 | failed=850
Scanned 860/10000 | reused=0 | fetched_new=0 | failed=860
Scanned 870/10000 | reused=0 | fetched_new=0 | failed=870
Scanned 880/10000 | reused=0 | fetched_new=0 | failed=880
Scanned 890/10000 | reused=0 | fetched_new=0 | failed=890
Scanned 900/10000 | reused=0 | fetched_new=0 | failed=900
Scanned 910/10000 | reused=0 | fetched_new=0 | failed=910
Scanned 920/10000 | reused=0 | fetched_new=0 | failed=920
Scanned 930/10000 | reused=0 | fetched_new=0 | failed=930
Scanned 940/10000 | reused=0 | fetched_new=0 | failed=940
Scanned 950/10000 | reused=0 | fetched_new=0 | failed=950
Scanned 960/10000 | reused=0 | fetched_new=0 | failed=960
Scanned 970/10000 | reused=0 | fetched_new=0 | failed=970
Scanned 980/10000 | reused=0 | fetched_new=0 | failed=980
Scanned 990/10000 | reused=0 | fetched_new=0 | failed=990
Scanned 1000/10000 | reused=0 | fetched_new=0 | failed=1000
Scanned 1010/10000 | reused=0 | fetched_new=0 | failed=1010
Scanned 1020/10000 | reused=0 | fetched_new=0 | failed=1020
Scanned 1030/10000 | reused=0 | fetched_new=0 | failed=1030
Scanned 1040/10000 | reused=0 | fetched_new=0 | failed=1040
Scanned 1050/10000 | reused=0 | fetched_new=0 | failed=1050
Scanned 1060/10000 | reused=0 | fetched_new=0 | failed=1060
Scanned 1070/10000 | reused=0 | fetched_new=0 | failed=1070
Scanned 1080/10000 | reused=0 | fetched_new=0 | failed=1080
Scanned 1090/10000 | reused=0 | fetched_new=0 | failed=1090
Scanned 1100/10000 | reused=0 | fetched_new=0 | failed=1100
Scanned 1110/10000 | reused=0 | fetched_new=0 | failed=1110
Scanned 1120/10000 | reused=0 | fetched_new=0 | failed=1120
Scanned 1130/10000 | reused=0 | fetched_new=0 | failed=1130
Scanned 1140/10000 | reused=0 | fetched_new=0 | failed=1140
Scanned 1150/10000 | reused=0 | fetched_new=0 | failed=1150
Scanned 1160/10000 | reused=0 | fetched_new=0 | failed=1160
Scanned 1170/10000 | reused=0 | fetched_new=0 | failed=1170
Scanned 1180/10000 | reused=0 | fetched_new=0 | failed=1180
Scanned 1190/10000 | reused=0 | fetched_new=0 | failed=1190
Scanned 1200/10000 | reused=0 | fetched_new=0 | failed=1200
Scanned 1210/10000 | reused=0 | fetched_new=0 | failed=1210
Scanned 1220/10000 | reused=0 | fetched_new=0 | failed=1220
Scanned 1230/10000 | reused=0 | fetched_new=0 | failed=1230
Scanned 1240/10000 | reused=0 | fetched_new=0 | failed=1240
Scanned 1250/10000 | reused=0 | fetched_new=0 | failed=1250
Scanned 1260/10000 | reused=0 | fetched_new=0 | failed=1260
Scanned 1270/10000 | reused=0 | fetched_new=0 | failed=1270
Scanned 1280/10000 | reused=0 | fetched_new=0 | failed=1280
Scanned 1290/10000 | reused=0 | fetched_new=0 | failed=1290
Scanned 1300/10000 | reused=0 | fetched_new=0 | failed=1300
Scanned 1310/10000 | reused=0 | fetched_new=0 | failed=1310
Scanned 1320/10000 | reused=0 | fetched_new=0 | failed=1320
Scanned 1330/10000 | reused=0 | fetched_new=0 | failed=1330
Scanned 1340/10000 | reused=0 | fetched_new=0 | failed=1340
Scanned 1350/10000 | reused=0 | fetched_new=0 | failed=1350
Scanned 1360/10000 | reused=0 | fetched_new=0 | failed=1360
Scanned 1370/10000 | reused=0 | fetched_new=0 | failed=1370
Scanned 1380/10000 | reused=0 | fetched_new=0 | failed=1380
Scanned 1390/10000 | reused=0 | fetched_new=0 | failed=1390
Scanned 1400/10000 | reused=0 | fetched_new=0 | failed=1400
Scanned 1410/10000 | reused=0 | fetched_new=0 | failed=1410
