run_name,dataset_scale,feature_family,feature_prefix,model,input_dim,test_pearson,test_spearman,test_mae,test_rmse,test_r2,val_pearson,val_spearman,val_mae,val_rmse,val_r2,source_metrics_path,seed,n_estimators,max_depth,min_samples_split,min_samples_leaf,learning_rate,subsample,colsample_bytree,alpha,C,epsilon,gamma
10k_basic_rf,10k,basic,basic,rf,29,0.8528398470824344,0.8290941467822469,5.247280219847281,6.788045944512917,0.7243308916285836,0.8477524200847466,0.8195436595628364,5.300677249192508,6.924141119636281,0.7163063860239673,outputs/final_10000/basic_rf/metrics.csv,42,500.0,,2.0,1.0,,,,,,,
10k_basic_xgb,10k,basic,basic,xgb,29,0.8603937029838562,0.834460698798354,5.100954055786133,6.6101757673708725,0.7385885715484619,0.8553037047386169,0.8275728273508415,5.18430233001709,6.753203020611601,0.7301406860351562,outputs/final_10000/basic_xgb/metrics.csv,42,500.0,7.0,,,0.01,0.8,1.0,,,,
10k_esm_small_ridge,10k,esm_small,esm,ridge,320,0.930551052093506,0.9187707287159363,3.504997491836548,4.735444102422493,0.8658409118652344,0.9389623403549194,0.9310930597370254,3.265901565551758,4.475219098913076,0.8814923763275146,outputs/final_10000/esm_ridge/metrics.csv,42,,,,,,,,100.0,,,
10k_esm_small_svr,10k,esm_small,esm,svr,320,0.937167132934374,0.93408565735373,3.1728807716429435,4.53684164261248,0.8768581152463902,0.9468703314202516,0.945595645028688,2.9383564093958072,4.196166438892344,0.8958106927203665,outputs/final_10000/esm_svr/metrics.csv,42,,,,,,,,,10.0,0.01,scale
10k_esm_small_xgb,10k,esm_small,esm,xgb,320,0.9347819089889526,0.9222817063234848,3.4238741397857666,4.607368679151896,0.8729997873306274,0.9403738379478456,0.9344188642631158,3.243457078933716,4.427045946150342,0.8840299844741821,outputs/final_10000/esm_xgb/metrics.csv,42,500.0,5.0,,,0.05,0.8,0.8,,,,
10k_combined_small_ridge,10k,basic+esm_small,combined,ridge,349,0.9370357990264891,0.927469031708312,3.3405802249908447,4.517290593557229,0.8779171705245972,0.9422047138214112,0.9354353142047372,3.1542017459869385,4.357737681504666,0.8876327276229858,outputs/final_10000/combined_ridge/metrics.csv,42,,,,,,,,100.0,,,
10k_combined_small_svr,10k,basic+esm_small,combined,svr,349,0.9389076904091812,0.93716473391168,3.127125723226244,4.478747306539584,0.8799915918083007,0.9471704561807044,0.945741312651772,2.917018497176531,4.186211082514623,0.8963044821245045,outputs/final_10000/combined_svr/metrics.csv,42,,,,,,,,,10.0,0.01,scale
10k_combined_small_xgb,10k,basic+esm_small,combined,xgb,349,0.940051794052124,0.9281461690957756,3.287186861038208,4.429382636665316,0.882622480392456,0.9422160387039183,0.9363624899824168,3.148413896560669,4.359848379596062,0.8875238299369812,outputs/final_10000/combined_xgb/metrics.csv,42,500.0,5.0,,,0.05,0.8,0.8,,,,
2k_esm_large_ridge,2k,esm_large,esm,ridge,1280,0.958357572555542,0.9552307418394996,2.884539127349853,3.874319078239081,0.9180618524551392,0.9487499594688416,0.9394271623544518,2.956055164337158,3.904426209987306,0.8999294638633728,outputs/final_esm_large_2000/esm_ridge/metrics.csv,42,,,,,,,,100.0,,,
2k_esm_large_svr,2k,esm_large,esm,svr,1280,0.9457403728273972,0.9521136163018746,3.1055308443568026,4.470349977255352,0.8909116391887091,0.941945857053138,0.9333049768914266,3.046911232225616,4.209788554777599,0.8836644513714207,outputs/final_esm_large_2000/esm_svr/metrics.csv,42,,,,,,,,,10.0,0.01,scale
