trial,feature_prefix,model,selection_metric,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,val_pearson,val_spearman,val_mae,val_rmse,val_r2
1,basic,xgb,pearson,100,3,0.01,0.8,0.8,0.7700555324554443,0.7364536434411678,7.294496059417725,8.93675132763535,0.4757345914840698
2,basic,xgb,pearson,100,3,0.01,0.8,1.0,0.7641813158988953,0.7340491501390851,7.25250768661499,8.910020103902859,0.47886621952056885
3,basic,xgb,pearson,100,3,0.01,1.0,0.8,0.7615090608596802,0.7246340485152675,7.345791816711426,9.010935180092254,0.46699464321136475
4,basic,xgb,pearson,100,3,0.01,1.0,1.0,0.7559195160865784,0.7242672464371875,7.3188090324401855,8.993030392592358,0.4691106677055359
5,basic,xgb,pearson,100,3,0.05,0.8,0.8,0.8033024072647095,0.7735121272287775,5.587871074676514,7.352351439219362,0.6451503038406372
6,basic,xgb,pearson,100,3,0.05,0.8,1.0,0.8008010983467102,0.7729969948174006,5.6291184425354,7.393177196664455,0.6411986351013184
7,basic,xgb,pearson,100,3,0.05,1.0,0.8,0.7986830472946167,0.7658112151018367,5.665307998657227,7.427654513687819,0.6378443241119385
8,basic,xgb,pearson,100,3,0.05,1.0,1.0,0.7974257469177246,0.7626657785071939,5.722560882568359,7.447862602695676,0.6358710527420044
9,basic,xgb,pearson,100,3,0.1,0.8,0.8,0.8016499876976013,0.7681857669259335,5.598385334014893,7.395690085586403,0.6409546732902527
10,basic,xgb,pearson,100,3,0.1,0.8,1.0,0.7997203469276428,0.7664115982996031,5.594322681427002,7.434674664006431,0.6371594667434692
11,basic,xgb,pearson,100,3,0.1,1.0,0.8,0.803779661655426,0.7731937971647048,5.559189319610596,7.354338329642287,0.64495849609375
12,basic,xgb,pearson,100,3,0.1,1.0,1.0,0.8063499331474304,0.7729922334702886,5.534770488739014,7.31270031776908,0.6489673852920532
13,basic,xgb,pearson,100,5,0.01,0.8,0.8,0.790736734867096,0.7618776621947179,6.965939044952393,8.575992840379602,0.5172072649002075
14,basic,xgb,pearson,100,5,0.01,0.8,1.0,0.7891110181808472,0.755968603697667,6.896506309509277,8.523411989392391,0.5231093168258667
15,basic,xgb,pearson,100,5,0.01,1.0,0.8,0.7820489406585693,0.754305986632251,7.022450923919678,8.63959628115615,0.5100195407867432
16,basic,xgb,pearson,100,5,0.01,1.0,1.0,0.7706769108772278,0.7415577738485676,7.005638122558594,8.661846238604705,0.5074925422668457
17,basic,xgb,pearson,100,5,0.05,0.8,0.8,0.8081043362617493,0.7791411731694681,5.564790725708008,7.275261901126341,0.6525525450706482
18,basic,xgb,pearson,100,5,0.05,0.8,1.0,0.8145605325698853,0.7837685223700785,5.511999607086182,7.163102113670385,0.6631828546524048
19,basic,xgb,pearson,100,5,0.05,1.0,0.8,0.8159707188606262,0.7881766228727131,5.461216449737549,7.137480128806757,0.6655881404876709
20,basic,xgb,pearson,100,5,0.05,1.0,1.0,0.8094834685325623,0.7788028907936873,5.600726127624512,7.247235790646294,0.6552243232727051
21,basic,xgb,pearson,100,5,0.1,0.8,0.8,0.8052377700805664,0.7816710356017486,5.507744789123535,7.3428918215328745,0.6460628509521484
22,basic,xgb,pearson,100,5,0.1,0.8,1.0,0.8097906708717346,0.7793345745545492,5.475073337554932,7.271835593267205,0.6528797149658203
23,basic,xgb,pearson,100,5,0.1,1.0,0.8,0.8160098195075989,0.781513911147046,5.411362171173096,7.144093678935643,0.6649681329727173
24,basic,xgb,pearson,100,5,0.1,1.0,1.0,0.8074340224266052,0.7735758385877549,5.6299004554748535,7.301807639612824,0.6500123739242554
25,basic,xgb,pearson,100,7,0.01,0.8,0.8,0.8009907007217407,0.7739776055916984,6.8273444175720215,8.470284973899195,0.5290358066558838
26,basic,xgb,pearson,100,7,0.01,0.8,1.0,0.8025237321853638,0.7721478879157256,6.718443393707275,8.351795446646019,0.542120099067688
27,basic,xgb,pearson,100,7,0.01,1.0,0.8,0.7833847999572754,0.760573053085976,6.883138656616211,8.571875569631771,0.517670750617981
28,basic,xgb,pearson,100,7,0.01,1.0,1.0,0.784736692905426,0.7535462116716333,6.7423176765441895,8.44999707464585,0.5312892198562622
29,basic,xgb,pearson,100,7,0.05,0.8,0.8,0.8121163249015808,0.7777701319319704,5.548532485961914,7.206537129487479,0.659085750579834
30,basic,xgb,pearson,100,7,0.05,0.8,1.0,0.8158121109008789,0.7791386791305045,5.484469890594482,7.1437340443350354,0.6650018692016602
31,basic,xgb,pearson,100,7,0.05,1.0,0.8,0.8117358088493347,0.7841943228403977,5.5958380699157715,7.217935623537199,0.658006489276886
32,basic,xgb,pearson,100,7,0.05,1.0,1.0,0.8164376616477966,0.7896843827915752,5.503224849700928,7.131893637762103,0.666111409664154
33,basic,xgb,pearson,100,7,0.1,0.8,0.8,0.8031091094017029,0.7688260547471165,5.697625160217285,7.36491195470699,0.6439368724822998
34,basic,xgb,pearson,100,7,0.1,0.8,1.0,0.8088725805282593,0.7803825243808621,5.547632217407227,7.286301068310082,0.6514973640441895
35,basic,xgb,pearson,100,7,0.1,1.0,0.8,0.8089964985847473,0.7848473075872132,5.589677333831787,7.266470517418864,0.6533917188644409
36,basic,xgb,pearson,100,7,0.1,1.0,1.0,0.8108884692192078,0.7826323742567826,5.521494388580322,7.233500417487713,0.6565299034118652
37,basic,xgb,pearson,300,3,0.01,0.8,0.8,0.7948077917098999,0.7572786543459658,5.894749164581299,7.558499373603316,0.6249725818634033
38,basic,xgb,pearson,300,3,0.01,0.8,1.0,0.7925744652748108,0.7584197905371888,5.91443395614624,7.583569393745656,0.6224806308746338
39,basic,xgb,pearson,300,3,0.01,1.0,0.8,0.7907443642616272,0.7535897439880876,5.953995227813721,7.618246871445366,0.6190202236175537
40,basic,xgb,pearson,300,3,0.01,1.0,1.0,0.7881593108177185,0.7493857577610362,5.991172790527344,7.6531560134726595,0.6155206561088562
41,basic,xgb,pearson,300,3,0.05,0.8,0.8,0.8108454346656799,0.7866452829491046,5.395030498504639,7.238997430671565,0.656007707118988
42,basic,xgb,pearson,300,3,0.05,0.8,1.0,0.8042983412742615,0.7789715785199478,5.491993427276611,7.361241842904399,0.6442916393280029
43,basic,xgb,pearson,300,3,0.05,1.0,0.8,0.8055188655853271,0.7783387728156556,5.5602569580078125,7.3326966558410165,0.6470450162887573
44,basic,xgb,pearson,300,3,0.05,1.0,1.0,0.8035150766372681,0.7750688610036507,5.596378803253174,7.373755139822623,0.6430813074111938
45,basic,xgb,pearson,300,3,0.1,0.8,0.8,0.8006408214569092,0.7645261048431733,5.5893473625183105,7.44140983841777,0.6365017890930176
46,basic,xgb,pearson,300,3,0.1,0.8,1.0,0.8013983964920044,0.7654402834887151,5.610115051269531,7.444601819603343,0.6361898183822632
47,basic,xgb,pearson,300,3,0.1,1.0,0.8,0.807711124420166,0.7748450776893775,5.567051410675049,7.311284934273641,0.6491032838821411
48,basic,xgb,pearson,300,3,0.1,1.0,1.0,0.8093985319137573,0.7774128041677407,5.493264198303223,7.281651039703404,0.6519420146942139
49,basic,xgb,pearson,300,5,0.01,0.8,0.8,0.8113300800323486,0.7816454150196684,5.642960071563721,7.267086546546697,0.6533329486846924
50,basic,xgb,pearson,300,5,0.01,0.8,1.0,0.8100026249885559,0.7796014367236471,5.653326034545898,7.275812173190084,0.6525000333786011
51,basic,xgb,pearson,300,5,0.01,1.0,0.8,0.8096551895141602,0.7810087548915234,5.691912651062012,7.291693405828949,0.6509813070297241
