trial,feature_prefix,model,selection_metric,C,epsilon,gamma,val_pearson,val_spearman,val_mae,val_rmse,val_r2
1,esm,svr,pearson,0.1,0.01,scale,0.8009724052818545,0.8144007623818023,8.06027903851114,10.1835124904368,0.31925089821515373
2,esm,svr,pearson,0.1,0.01,auto,0.8009724052314033,0.8144007623818023,8.060279039970352,10.183512493045185,0.31925089786642236
3,esm,svr,pearson,0.1,0.1,scale,0.8013235521048527,0.8145562997208008,8.0649144860592,10.184244034700026,0.3191530899220515
4,esm,svr,pearson,0.1,0.1,auto,0.8013267712080193,0.8145562997208008,8.064934962536363,10.18426522733007,0.3191502563387939
5,esm,svr,pearson,0.1,0.5,scale,0.8009649029193144,0.8146161566559255,8.07338890799417,10.190393543386326,0.3183306159034721
6,esm,svr,pearson,0.1,0.5,auto,0.8009649028460453,0.8146161566559255,8.073388910079473,10.190393544999363,0.3183306156876694
7,esm,svr,pearson,0.1,1.0,scale,0.8007823051850628,0.8150288067389824,8.081673198739677,10.20051516149601,0.3169758058719968
8,esm,svr,pearson,0.1,1.0,auto,0.8007823050658208,0.8150288067389824,8.081673200821093,10.20051516349699,0.3169758056040266
9,esm,svr,pearson,1.0,0.01,scale,0.8644341111808742,0.8850083658242686,4.588175276552165,6.5341557862450665,0.7197337223790528
10,esm,svr,pearson,1.0,0.01,auto,0.8644341108037132,0.8850083658242686,4.588175274575451,6.5341557886277215,0.7197337221746567
11,esm,svr,pearson,1.0,0.1,scale,0.8643179623722508,0.8845859663161723,4.587974276351786,6.534250241698627,0.7197256194593868
12,esm,svr,pearson,1.0,0.1,auto,0.8643179620486552,0.8845859663161723,4.58797428449824,6.534250249372066,0.7197256188011114
13,esm,svr,pearson,1.0,0.5,scale,0.8640343633310086,0.8849689146624818,4.593121523851456,6.548501050482367,0.718501763028234
14,esm,svr,pearson,1.0,0.5,auto,0.8640343636766964,0.8849689146624818,4.59312151817662,6.548501052405522,0.7185017628628939
15,esm,svr,pearson,1.0,1.0,scale,0.8628101782188948,0.8836384582408452,4.648608782558212,6.60466195535939,0.7136527184676329
16,esm,svr,pearson,1.0,1.0,auto,0.8628101782666417,0.8836384582408452,4.64860877092803,6.604661947893986,0.7136527191149629
17,esm,svr,pearson,10.0,0.01,scale,0.9305957729303528,0.9253635033699126,3.3778405809238476,4.603940547161264,0.8608602272667845
18,esm,svr,pearson,10.0,0.01,auto,0.9305953861068446,0.9253635033699126,3.37783782231468,4.603944446153584,0.8608599915968711
19,esm,svr,pearson,10.0,0.1,scale,0.9305034649643771,0.9253818685659169,3.3781324236751207,4.607150580432785,0.8606661330975869
20,esm,svr,pearson,10.0,0.1,auto,0.9305032613927141,0.9253818685659169,3.3781437345103886,4.6071616887988265,0.8606654611970556
21,esm,svr,pearson,10.0,0.5,scale,0.9299969371278181,0.9249286336669987,3.3963678661255794,4.62838776359769,0.8593786219301496
22,esm,svr,pearson,10.0,0.5,auto,0.9299969375414606,0.9249515334793,3.3963620975366218,4.628385050859271,0.8593787867689325
23,esm,svr,pearson,10.0,1.0,scale,0.928723606186685,0.9232460642898743,3.450753500820333,4.6755134855480955,0.8565004615875946
24,esm,svr,pearson,10.0,1.0,auto,0.9287235372890467,0.9232460642898743,3.4507557297218643,4.675516162519094,0.8565002972658731
25,esm,svr,pearson,100.0,0.01,scale,0.9258414072222141,0.9075567453627421,3.56946021866982,4.682390231727636,0.8560780328615529
26,esm,svr,pearson,100.0,0.01,auto,0.9258414071005991,0.9075567453627421,3.569467222618514,4.682391182066499,0.8560779744406842
27,esm,svr,pearson,100.0,0.1,scale,0.9259801018528088,0.9080183693018105,3.56538502734782,4.679215058951981,0.856273156355766
28,esm,svr,pearson,100.0,0.1,auto,0.9259805193173397,0.9080183693018105,3.565369680209581,4.679203282511467,0.8562738798055212
29,esm,svr,pearson,100.0,0.5,scale,0.9265049694919021,0.9093851026538257,3.549927203508413,4.669598443512918,0.8568633175124971
30,esm,svr,pearson,100.0,0.5,auto,0.9265045777597902,0.9093851026538257,3.549947219299369,4.669611804344912,0.8568624984151267
31,esm,svr,pearson,100.0,1.0,scale,0.926482340307097,0.9098981944878686,3.540678830294037,4.680215111473774,0.85621171453262
32,esm,svr,pearson,100.0,1.0,auto,0.9264819568164291,0.9098981944878686,3.5406788200292003,4.680224136909278,0.8562111599627479
